"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.44871226728143,0.923,0.092,0,"0","ITGB4"
0,4.2782585345063,0.99,0.216,0,"0","COL17A1"
0,4.22922650691743,0.805,0.073,0,"0","COL7A1"
0,4.91695542667492,0.831,0.171,0,"0","HIFy"
0,2.95959740242151,0.928,0.272,0,"0","ITGA6"
0,3.25166292046304,0.778,0.125,0,"0","VIT"
0,5.05054364546618,0.816,0.168,0,"0","TBFA"
0,3.16657478790676,0.815,0.17,0,"0","FCN2"
0,2.80653828629822,0.823,0.195,0,"0","SRPX"
0,2.70928307352798,0.749,0.126,0,"0","ECRG4"
0,1.42679644558626,0.947,0.3,0,"1","LUM"
0,1.83545483993689,0.862,0.222,0,"1","VCAN"
0,1.61392331525523,0.945,0.339,0,"1","FBN2"
0,2.22893407260899,0.842,0.24,0,"1","PFN2"
0,1.92625128474583,0.835,0.234,0,"1","BGN"
0,1.78356894524236,0.863,0.262,0,"1","COL6A1"
0,1.3726185584723,0.91,0.323,0,"1","FN1"
0,2.47892049276122,0.891,0.322,0,"1","LTBP1"
0,2.01243849491254,0.83,0.264,0,"1","COL6A3"
0,2.14454815828781,0.981,0.416,0,"1","VIM"
0,4.11686031646665,0.848,0.177,0,"2","LOC138472545"
0,2.14336027759071,0.969,0.323,0,"2","LPO"
0,3.28270994361615,0.825,0.181,0,"2","BR3"
0,2.13140937870682,0.879,0.236,0,"2","WFDC3"
0,2.38579244868212,0.936,0.301,0,"2","AVR4"
0,3.89419807125913,0.873,0.238,0,"2","LOC138472542"
0,3.66219954429015,0.849,0.224,0,"2","LOC138472543"
0,3.8933578647044,0.896,0.273,0,"2","LOC138472547"
0,4.18498940255773,0.861,0.245,0,"2","LOC138472540"
0,4.04288405339385,0.754,0.141,0,"2","LOC138472546"
0,4.9916008829739,0.764,0.106,0,"3","THBS4"
0,3.11100691786284,0.912,0.27,0,"3","TGFBI"
0,1.48339571642004,0.924,0.339,0,"3","LUM"
0,1.66381163536973,0.934,0.375,0,"3","FBN2"
0,1.1310090846548,0.837,0.299,0,"3","COL6A1"
0,2.19031134962507,0.86,0.328,0,"3","COL11A1"
0,1.37347009056569,0.797,0.273,0,"3","BGN"
0,1.60669106514391,0.883,0.359,0,"3","FN1"
0,2.17281047203734,0.836,0.317,0,"3","COL12A1"
0,1.75152278277914,0.857,0.348,0,"3","MDK"
0,3.39918103623462,0.736,0.15,0,"4","LOC138472418"
0,2.80600449147866,0.757,0.203,0,"4","CAPN13"
0,2.63500797850002,0.758,0.21,0,"4","FAM83B"
0,2.87815734761501,0.827,0.286,0,"4","MUC2"
0,2.64525053380344,0.729,0.199,0,"4","BAIAP2L1"
0,2.16262407373357,0.79,0.26,0,"4","CLDN4"
0,2.26249619568272,0.872,0.349,0,"4","LPO"
0,2.6229274787378,0.723,0.204,0,"4","CGN"
0,2.17620715324894,0.893,0.391,0,"4","OTOA"
0,3.12877868194474,0.627,0.126,0,"4","ADGRF5"
0,1.82650207136861,0.856,0.303,0,"5","LOC138521056"
0,1.37355190473903,0.868,0.325,0,"5","AVR4"
0,1.75984251298438,0.817,0.306,0,"5","AGR2A"
0,1.3245423448005,0.807,0.334,0,"5","FABP2"
0,2.00585128667235,0.676,0.208,0,"5","LOC138487720"
0,1.35640781460289,0.734,0.268,0,"5","CLDN4"
0,1.24117019865394,0.837,0.375,0,"5","LOC138528712"
0,1.47318981175323,0.933,0.474,0,"5","LOC138582574"
0,1.30932605748044,0.925,0.469,0,"5","FXYD3"
0,1.40889968177583,0.788,0.347,0,"5","IFI27"
0,3.26273216965679,0.898,0.198,0,"6","DPT"
0,2.37208715572605,0.961,0.308,0,"6","COL6A3"
0,2.27795652071019,0.952,0.313,0,"6","COL6A1"
0,2.45149719714099,0.995,0.36,0,"6","LUM"
0,2.2826286705938,0.865,0.263,0,"6","COL6A2"
0,1.76070194051445,0.983,0.396,0,"6","FBN2"
0,1.82079532569202,0.86,0.291,0,"6","BGN"
0,2.15106834058051,0.775,0.212,0,"6","MMP2"
0,1.57231956748684,0.838,0.3,0,"6","PFN2"
0,2.01619246178464,0.776,0.244,0,"6","AEBP1"
0,5.65412576082846,0.856,0.056,0,"7","COL9A1"
0,6.39567435719209,0.817,0.036,0,"7","COL9A3"
0,5.40204357156449,0.829,0.051,0,"7","ACAN"
0,5.87699093996557,0.806,0.049,0,"7","COL9A2"
0,5.78905268426965,0.878,0.128,0,"7","COL2A1"
0,6.00479251312174,0.76,0.037,0,"7","CNMD"
0,5.7924341775869,0.736,0.032,0,"7","HAPLN1"
0,5.07139104919527,0.77,0.081,0,"7","COL11A2"
0,5.57437161453911,0.686,0.034,0,"7","MATN4"
0,3.52332414206607,0.745,0.103,0,"7","SPACA4"
4.2834620904468e-142,1.60250119434567,1,0.813,8.06019061559375e-138,"8","LOC138580806"
2.5043368568609e-131,1.43902589932522,1,0.899,4.71241066355516e-127,"8","PMP2"
3.10204907806789e-125,1.63090083800661,0.773,0.294,5.83712575020035e-121,"8","LOC138521057"
1.22978089766626e-122,1.07471304850323,0.924,0.36,2.3140787151386e-118,"8","COL17A1"
4.30305711292284e-109,1.24843785096391,0.742,0.294,8.0970625693869e-105,"8","HIFy"
4.20701222867438e-92,1.82189914291389,0.775,0.377,7.91633491069659e-88,"8","LOC138521299"
1.33100226781385e-84,1.23805566426168,0.716,0.291,2.50454696734531e-80,"8","FCN2"
3.75315658006649e-75,1.11638619058219,0.626,0.243,7.06231473671112e-71,"8","ECRG4"
2.1043362361898e-63,1.19920258668039,0.444,0.152,3.95972949563834e-59,"8","C3QH17orf67"
